,Year,Plot,Group,DBH_Class,total.BA,total.Density,CBI
1,2011,1,Pyrophytic,Mid,0.39213326,20,0.82
2,2011,1,Pyrophytic,Overstory,11.83553192,100,0.82
3,2011,2,Mesophytic,Mid,0.82813882,40,2.4
4,2011,2,Mesophytic,Overstory,2.00197822,40,2.4
5,2011,2,Pyrophytic,Overstory,7.89813006,80,2.4
6,2011,3,Pyrophytic,Overstory,1.62866308,20,2.3
7,2011,4,Pyrophytic,Overstory,1.48045858,20,2.5
8,2011,5,Pyrophytic,Mid,2.3960907,100,2
9,2011,5,Pyrophytic,Overstory,7.8502051,120,2
10,2011,6,Pyrophytic,Mid,0.83154746,40,1.2
11,2011,6,Pyrophytic,Overstory,9.3777561,80,1.2
12,2011,7,Intermediate,Mid,1.7247329,120,0.16
13,2011,7,Intermediate,Overstory,4.79092476,40,0.16
14,2011,7,Mesophytic,Mid,1.70618184,100,0.16
15,2011,7,Pyrophytic,Mid,1.52012114,80,0.16
16,2011,7,Pyrophytic,Overstory,14.63256806,200,0.16
17,2011,8,Intermediate,Overstory,7.84637234,140,0.36
18,2011,8,Pyrophytic,Mid,0.39711268,20,0.36
19,2011,8,Pyrophytic,Overstory,6.53961228,60,0.36
20,2011,9,Mesophytic,Mid,0.95165044,40,1.2
21,2011,9,Mesophytic,Overstory,0.99751766,20,1.2
22,2011,9,Pyrophytic,Mid,0.53180836,20,1.2
23,2011,9,Pyrophytic,Overstory,9.65683926,120,1.2
24,2011,10,Pyrophytic,Mid,0.75984066,40,2.4
25,2011,10,Pyrophytic,Overstory,1.70024422,20,2.4
26,2011,11,Pyrophytic,Mid,0.39213326,20,1.4
27,2011,11,Pyrophytic,Overstory,4.43978924,80,1.4
28,2011,12,Pyrophytic,Overstory,6.01539088,40,1.5
29,2011,13,Intermediate,Mid,5.39912088,360,1.7
30,2011,13,Intermediate,Overstory,3.10114202,80,1.7
31,2011,13,Mesophytic,Mid,1.7695948,120,1.7
32,2011,13,Pyrophytic,Mid,2.13147458,100,1.7
33,2011,13,Pyrophytic,Overstory,5.01810882,100,1.7
34,2011,14,Intermediate,Mid,3.3198595,160,2
35,2011,14,Intermediate,Overstory,8.43383398,160,2
36,2011,14,Mesophytic,Mid,1.13752264,80,2
37,2011,14,Pyrophytic,Mid,1.9310254,80,2
38,2011,14,Pyrophytic,Overstory,5.24676944,80,2
39,2011,15,Intermediate,Mid,3.10706392,220,0.8
40,2011,15,Intermediate,Overstory,0.68613896,20,0.8
41,2011,15,Mesophytic,Mid,2.0127696,100,0.8
42,2011,15,Mesophytic,Overstory,2.42884176,40,0.8
43,2011,15,Pyrophytic,Mid,3.37157012,180,0.8
44,2011,15,Pyrophytic,Overstory,6.7832897,140,0.8
45,2011,16,Intermediate,Mid,3.00978458,200,0.9
46,2011,16,Mesophytic,Mid,2.89225772,180,0.9
47,2011,16,Mesophytic,Overstory,11.31475054,180,0.9
48,2011,16,Pyrophytic,Overstory,12.2591282,100,0.9
49,2011,19,Intermediate,Mid,0.3677074,20,0.4
50,2011,19,Mesophytic,Overstory,6.57270892,100,0.4
51,2011,19,Pyrophytic,Overstory,10.13806802,80,0.4
52,2011,20,Intermediate,Mid,1.91313406,80,0.7
53,2011,20,Intermediate,Overstory,12.52713722,220,0.7
54,2011,20,Mesophytic,Mid,0.49769068,20,0.7
55,2011,20,Mesophytic,Overstory,4.66087862,80,0.7
56,2011,20,Pyrophytic,Overstory,7.66400304,120,0.7
57,2011,21,Intermediate,Mid,1.03707028,80,1
58,2011,21,Intermediate,Overstory,0.7881621,20,1
59,2011,21,Mesophytic,Mid,3.20767336,220,1
60,2011,21,Mesophytic,Overstory,11.00238224,160,1
61,2011,21,Pyrophytic,Mid,1.74004814,80,1
62,2011,21,Pyrophytic,Overstory,7.46660124,100,1
63,2011,23,Intermediate,Mid,1.95584398,120,1.6
64,2011,23,Mesophytic,Mid,1.58964454,120,1.6
65,2011,23,Mesophytic,Overstory,4.51209292,60,1.6
66,2011,23,Pyrophytic,Mid,0.35342888,20,1.6
67,2011,23,Pyrophytic,Overstory,8.58046768,60,1.6
68,2011,24,Intermediate,Mid,0.18321752,20,1
69,2011,24,Intermediate,Overstory,0.80229926,20,1
70,2011,24,Mesophytic,Mid,0.56110368,20,1
71,2011,24,Mesophytic,Overstory,0.80941496,20,1
72,2011,24,Pyrophytic,Mid,1.0011776,60,1
73,2011,24,Pyrophytic,Overstory,13.98100226,120,1
74,2011,25,Intermediate,Mid,0.261396,20,2.5
75,2011,25,Mesophytic,Mid,1.1373027,80,2.5
76,2011,25,Mesophytic,Overstory,4.57410792,40,2.5
77,2011,25,Pyrophytic,Mid,2.03392818,80,2.5
78,2011,25,Pyrophytic,Overstory,11.5114769,200,2.5
79,2011,26,Intermediate,Mid,1.86206752,80,1.2
80,2011,26,Intermediate,Overstory,4.46551886,100,1.2
81,2011,26,Mesophytic,Mid,1.53576626,80,1.2
82,2011,26,Mesophytic,Overstory,7.32227662,120,1.2
